Data da venda;Estado;Tarifa de venda e impostos (BRL);Tarifas de envio (BRL);Custo de envio com base nas medidas e peso declarados;Custo por diferenças nas medidas e no peso do pacote;Cancelamentos e reembolsos (BRL);Total (BRL);SKU
24 de janeiro de 2026 19:19 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 19:04 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 19:01 hs.;A caminho;-47,72;-28,45;-28,45;;;338,83;4-ALLEGRA-PT
24 de janeiro de 2026 18:54 hs.;Para entregar na coleta do dia 12 de fevereiro;-94,98;;;;;378,96;1-ALLEGRA-PT
24 de janeiro de 2026 18:52 hs.;A caminho;-20,79;-22,45;-22,45;;;143,11;2-GRUVYER-PT
24 de janeiro de 2026 18:31 hs.;Pronto para coleta. Está atrasado 1 dia e isso não afetou sua reputação;-77,04;-44,45;-44,45;;;548,41;6-ALLEGRA-ND
24 de janeiro de 2026 18:24 hs.;Para entregar na coleta do dia 2 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 18:10 hs.;Para entregar na coleta do dia 4 de fevereiro;-94,98;;;;;378,96;1-ALLEGRA-PT
24 de janeiro de 2026 18:02 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 17:56 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 17:41 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 17:37 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
24 de janeiro de 2026 17:24 hs.;A caminho;-48,07;-26,95;-26,95;;;368,04;4-ALLEGRA-ND
24 de janeiro de 2026 17:14 hs.;Para entregar na coleta de amanhã;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 17:11 hs.;Etiqueta pronta para imprimir;-20,79;-22,45;-22,45;;;143,11;2-GRUVYER-PT
24 de janeiro de 2026 17:07 hs.;Para entregar na coleta do dia 2 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 17:04 hs.;A caminho;-74,63;-28,45;-28,45;;;578,31;8-GRUVYER-PT
24 de janeiro de 2026 17:00 hs.;Etiqueta pronta para imprimir;-28,29;-24,95;-24,95;;;192,76;2-ALLEGRA-PT
24 de janeiro de 2026 16:59 hs.;Etiqueta pronta para imprimir;-75,67;-44,45;-44,45;;;537,88;8-ALLEGRA-PT
24 de janeiro de 2026 16:51 hs.;Etiqueta pronta para imprimir;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 16:44 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 16:44 hs.;Para entregar na coleta do dia 3 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 16:44 hs.;Cancelada pelo comprador;-31,66;;;;-126,32;0;1-ALLEGRA-PT
24 de janeiro de 2026 16:42 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 16:41 hs.;A caminho;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
24 de janeiro de 2026 16:39 hs.;A caminho;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
24 de janeiro de 2026 16:35 hs.;Para entregar na coleta do dia 3 de fevereiro;-63,32;;;;;252,64;1-ALLEGRA-PT
24 de janeiro de 2026 16:28 hs.;A caminho;-40;-28,45;-28,45;;;290,1;4-GRUVYER-PT
24 de janeiro de 2026 16:11 hs.;A caminho;-20,79;-22,45;-22,45;;;143,11;2-GRUVYER-PT
24 de janeiro de 2026 16:09 hs.;Etiqueta pronta para imprimir;-13,64;;;;;46,26;1-CREATINA-300G
24 de janeiro de 2026 16:07 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 16:04 hs.;A caminho;-55,89;-23,45;-23,45;;;406,66;6-ALLEGRA-PT
24 de janeiro de 2026 16:00 hs.;A caminho;-85,33;-44,45;-44,45;;;612,22;8-ALLEGRA-PT
24 de janeiro de 2026 15:57 hs.;Etiqueta pronta para imprimir;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
24 de janeiro de 2026 15:43 hs.;Para entregar na coleta do dia 5 de fevereiro;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
24 de janeiro de 2026 15:35 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
24 de janeiro de 2026 15:33 hs.;Pronto para coleta. Está atrasado 1 dia e isso não afetou sua reputação;-77,04;-44,45;-44,45;;;548,41;6-ALLEGRA-ND
24 de janeiro de 2026 15:33 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
24 de janeiro de 2026 15:33 hs.;A caminho;-20,79;-22,45;-22,45;;;143,11;2-GRUVYER-PT
24 de janeiro de 2026 15:33 hs.;Etiqueta pronta para imprimir;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
24 de janeiro de 2026 15:14 hs.;Para entregar na coleta do dia 2 de fevereiro;-94,98;;;;;378,96;1-ALLEGRA-PT
24 de janeiro de 2026 15:11 hs.;Para entregar na coleta do dia 29 de janeiro;-87,31;-112,45;-112,45;;;559,48;6-NANA-ND
24 de janeiro de 2026 15:10 hs.;Para entregar na coleta do dia 29 de janeiro;-87,31;-112,45;-112,45;;;559,48;6-NANA-ND
24 de janeiro de 2026 15:10 hs.;Para entregar na coleta do dia 29 de janeiro;-87,31;-112,45;-112,45;;;559,48;6-NANA-ND
24 de janeiro de 2026 15:10 hs.;Para entregar na coleta do dia 30 de janeiro;-75,67;-44,45;-44,45;;;537,88;8-ALLEGRA-PT
24 de janeiro de 2026 15:09 hs.;A caminho;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 15:05 hs.;Para entregar na coleta de amanhã;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 15:05 hs.;A caminho;-23,68;-32,83;-32,83;;;149,49;1-ALLEGRA-PT
24 de janeiro de 2026 15:04 hs.;Para entregar na coleta do dia 30 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 15:03 hs.;Etiqueta pronta para imprimir;-11,84;-16,41;-16,41;;;74,75;1-ALLEGRA-PT
24 de janeiro de 2026 14:58 hs.;Para entregar na coleta do dia 2 de fevereiro;-23,23;-24,95;-24,95;;;153,84;2-GRUVYER-PT
24 de janeiro de 2026 14:42 hs.;A caminho;-24,44;;;;;75,08;1-MARMITA-001
24 de janeiro de 2026 14:31 hs.;A caminho;-70,5;-44,45;-44,45;;;498,05;6-ALLEGRA-PT
24 de janeiro de 2026 14:29 hs.;A caminho;-14,47;;;;;55,75;1-PASSADEIRA-001
24 de janeiro de 2026 14:21 hs.;A caminho;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
24 de janeiro de 2026 14:21 hs.;A caminho;-70,5;-44,45;-44,45;;;498,05;6-ALLEGRA-PT
24 de janeiro de 2026 14:15 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 14:14 hs.;A caminho;-38,76;-26,95;-26,95;;;271,29;2-ALLEGRA-ND
24 de janeiro de 2026 14:11 hs.;Etiqueta pronta para imprimir;-36,78;-34,94;-34,94;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 14:10 hs.;Venda cancelada. Não envie.;-15,83;;;;-63,16;0;1-ALLEGRA-PT
24 de janeiro de 2026 14:09 hs.;Para entregar na coleta do dia 3 de fevereiro;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 14:05 hs.;Etiqueta pronta para imprimir;-148;-139,95;-139,95;;;999,05;12-ALLEGRA-PT
24 de janeiro de 2026 14:02 hs.;Para entregar na coleta do dia 29 de janeiro;-13,64;;;;;46,26;1-CREATINA-300G
