vendas;;;;Anuncios;;Envios;
Numero da Venda;Data da Venda;Estado Atual;Quantidade por SKU;SKU;Loja Oficial;Data a Caminho;Data de Entrega
2000011247810367;27 de janeiro de 2026 14:57 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000014887757390;27 de janeiro de 2026 14:55 hs.;Para entregar na coleta do dia 30 de janeiro;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011247778289;27 de janeiro de 2026 14:53 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011247692773;27 de janeiro de 2026 14:48 hs.;Para entregar na coleta do dia 20 de fevereiro;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011247645153;27 de janeiro de 2026 14:45 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011247549545;27 de janeiro de 2026 14:39 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011247468127;27 de janeiro de 2026 14:39 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011247493645;27 de janeiro de 2026 14:37 hs.;Pronto para coleta;2;1-CREATINA-300G;Dom Stark; ; 
2000011247406575;27 de janeiro de 2026 14:34 hs.;Para entregar na coleta do dia 25 de fevereiro;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011247374821;27 de janeiro de 2026 14:32 hs.;Venda cancelada. Não envie.;1;1-CREATINA-300G;Dom Stark; ; 
2000014887337408;27 de janeiro de 2026 14:28 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000014887353172;27 de janeiro de 2026 14:26 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011247302505;27 de janeiro de 2026 14:26 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011247248573;27 de janeiro de 2026 14:24 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000014887242310;27 de janeiro de 2026 14:19 hs.;Para entregar na coleta do dia 30 de janeiro;1;2-CHIFRE-PT;Dom Stark; ; 
2000014887215640;27 de janeiro de 2026 14:18 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011247144993;27 de janeiro de 2026 14:18 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011247073175;27 de janeiro de 2026 14:13 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011247007049;27 de janeiro de 2026 14:09 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011246899175;27 de janeiro de 2026 14:05 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011246906047;27 de janeiro de 2026 14:03 hs.;Para entregar na coleta do dia 3 de fevereiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011246738851;27 de janeiro de 2026 13:54 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011246637621;27 de janeiro de 2026 13:48 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011246548625;27 de janeiro de 2026 13:44 hs.;Pronto para coleta;1;1-ALLEGRA-PT;Dom Stark; ; 
2000011246550495;27 de janeiro de 2026 13:44 hs.;Para entregar na coleta de amanhã;1;6-ALLEGRA-ND;Dom Stark; ; 
2000011246522245;27 de janeiro de 2026 13:44 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011246513683;27 de janeiro de 2026 13:42 hs.;Para entregar na coleta do dia 18 de fevereiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011246266427;27 de janeiro de 2026 13:29 hs.;Pronta para emitir NF-e de venda;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011246207639;27 de janeiro de 2026 13:25 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011246196793;27 de janeiro de 2026 13:25 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011246043091;27 de janeiro de 2026 13:15 hs.;A caminho;1;1-CREATINA-300G;Dom Stark; ; 
2000011245929639;27 de janeiro de 2026 13:09 hs.;A caminho;1;2-GRUVYER-PT;Dom Stark;28 de janeiro | 04:56; 
2000011245800595;27 de janeiro de 2026 13:03 hs.;Para entregar na coleta do dia 11 de fevereiro;1;6-ALLEGRA-ND;Dom Stark; ; 
2000011245706357;27 de janeiro de 2026 12:59 hs.;A caminho;1;2-GRUVYER-PT;Dom Stark;28 de janeiro | 04:19; 
